Number of Records;action description;action;chapter;page;source;target;page1
1;descent;1;1;;1;2;-1
1;descent;1;1;;2;3;-1
1;descent;1;1;;3;4;-1
1;descent;1;1;;4;5;-1
1;descent;1;1;;5;6;-1
1;descent;1;1;;9;7;-1
1;descent;1;1;;9;8;-1
1;marriage;2;1;;8;7;-1
1;offer assistance;9;1;;10;7;-1
1;provide information;10;1;;11;7;-1
1;death_neutral;24;1;;10;7;-1
1;descent;1;2;;13;9;-1
1;descent;1;2;;13;12;-1
1;descent;1;2;;14;9;-1
1;descent;1;2;;14;12;-1
1;marriage;2;2;;12;9;-1
1;request assistance;8;2;;9;7;-1
1;offer assistance;9;2;;7;9;-1
1;offer assistance;9;2;;9;15;-1
1;descent;1;3;;18;16;-1
1;descent;1;3;;18;17;-1
1;descent;1;3;;19;16;-1
1;descent;1;3;;19;17;-1
1;marriage;2;3;;17;16;-1
1;marriage;2;3;;20;18;-1
1;giftgiving;13;3;;19;21;-1
1;ownership;28;3;;9;22;-1
1;descent;1;4;;24;23;-1
1;request assistance;8;4;440;24;9;440
1;offer assistance;9;4;440;23;24;440
1;offer assistance;9;4;;24;9;-1
1;provide information;10;4;;23;24;-1
1;provide information;10;4;;24;9;-1
1;request assistance;8;5;;9;26;-1
1;request assistance;8;5;442;9;26;442
1;request assistance;8;5;;24;22;-1
1;request assistance;8;5;;24;25;-1
1;request assistance;8;5;441;24;25;441
1;provide information;10;5;442;9;22;442
1;discover information;11;5;;26;9;-1
1;accusation;14;5;;9;24;-1
1;hostility_lethal;22;5;;9;24;-1
1;hostility_lethal;22;5;442;9;24;442
1;death_neutral;24;5;;9;24;-1
1;placed in command;7;6;444;18;23;444
1;request assistance;8;6;444;23;18;444
1;intervention;19;6;443;9;23;443
1;challenge;20;6;443;23;9;443
1;accusation;14;7;;18;9;-1
1;summons;15;7;;18;9;-1
1;descent;1;8;;29;30;-1
1;descent;1;8;;31;30;-1
1;descent;1;8;;32;30;-1
1;descent;1;8;;33;34;-1
1;marriage;2;8;;32;33;-1
1;request assistance;8;8;;18;21;-1
1;provide information;10;8;;29;15;-1
1;offer assistance;9;9;;31;29;-1
1;provide information;10;9;;29;18;-1
1;intervention;19;9;;29;31;-1
1;hostility_non-lethal;21;9;;23;31;-1
1;request assistance;8;10;452;31;18;452
1;provide information;10;10;452;18;31;452
1;provide information;10;10;452;18;31;452
1;provide information;10;10;451;31;18;451
1;accusation;14;10;450;18;9;450
1;hostility_non-lethal;21;10;450;18;9;450
1;placed in command;7;11;453;9;18;453
1;request assistance;8;11;452;9;29;452
1;provide information;10;11;454;29;18;454
1;provide information;10;11;453;31;18;453
1;insult;17;11;453;18;9;453
1;insult;17;11;453;31;9;453
1;threat;18;11;452;29;9;452
1;hostility_non-lethal;21;11;453;18;9;453
1;hostility_non-lethal;21;11;452;29;9;452
1;hostility_non-lethal;21;11;453;31;9;453
1;provide information;10;12;454;29;18;454
1;provide information;10;12;454;31;18;454
1;giftgiving;13;12;455;18;23;455
1;giftgiving;13;12;455;18;29;455
1;giftgiving;13;12;455;18;31;455
1;summons;15;12;454;29;21;454
1;summons;15;12;454;31;21;454
1;hostility_lethal;22;12;455;31;21;455
1;conversation_neutral;23;13;456;9;18;456
1;conversation_neutral;23;13;456;18;9;456
1;request assistance;8;14;459;35;18;459
1;offer assistance;9;14;456;19;35;456
1;provide information;10;14;458;35;19;458
1;invitation;12;14;456;18;19;456
1;giftgiving;13;14;460;18;19;460
1;summons;15;14;457;9;37;457
1;summons;15;14;457;9;38;457
1;summons;15;14;457;9;41;457
1;summons;15;14;457;9;42;457
1;insult;17;14;457;36;9;457
1;hostility_non-lethal;21;14;459;9;19;459
1;hostility_non-lethal;21;14;459;18;9;459
1;hostility_lethal;22;14;459;9;19;459
1;challenge;20;15;460;9;18;460
1;inheritance;5;16;;9;13;-1
1;inheritance;5;16;;9;14;-1
1;request assistance;8;16;461;18;31;461
1;provide information;10;16;;31;18;-1
1;giftgiving;13;16;;18;29;-1
1;giftgiving;13;16;;18;31;-1
1;giftgiving;13;16;;29;18;-1
1;giftgiving;13;16;;31;18;-1
1;death_neutral;24;16;462;9;9;462